ID,Name,Type,Price,Image URL
1,Brownie,Sweet,3.50,images/sweet-images/toa-heftiba-brownie-square.jpg
2,Peanut Butter Chocolate Chip Cookie,Sweet,3.50,images/sweet-images/mae-mu-cookies-square.jpg
3,Chocolate Raspberry Cake Slice,Sweet,4.50,images/sweet-images/taylor-kiser-raspberry-chocolate-cake-square.jpg
4,Strawberry Waffles,Sweet,5.50,images/sweet-images/mae-mu-waffles-square.jpg
5,Pumpkin Pie Pancakes,Sweet,5.50,images/sweet-images/mae-mu-pancakes-square.jpg
6,Za'atar Croissant,Savory,3.50,images/savory-images/mae-mu-croissant-square.jpg
7,Sunny-Side Sandwich,Savory,5.50,images/savory-images/mae-mu-egg-sandwich-square.jpg
8,Lemon Rosemary Focaccia,Savory,4.50,images/savory-images/amber-engle-lemon-rosemary-focaccia-square.jpg
9,Coffee,Drink,2.50,images/savory-images/amber-engle-lemon-rosemary-focaccia-square.jpg
10,Iced Coffee,Drink,2.50,images/drinks-images/hannah-denson-coffee-square.jpg
11,Tea,Drink,2.50,images/drinks-images/mae-mu-iced-coffee-square.jpg
12,Iced Tea,Drink,2.50,images/drinks-images/mae-mu-iced-tea-square.jpg
13,Iced Matcha Green Tea,Drink,3.00,images/drinks-images/mae-mu-matcha-square.jpg
